client_id,sex,birth,age,s_idclient
c_5843,f,1988.0,34.0,c
c_7134,f,1981.0,41.0,c
c_2352,m,1938.0,84.0,c
c_3244,m,1974.0,48.0,c
c_5752,m,1981.0,41.0,c
c_7795,m,2003.0,19.0,c
c_457,f,2001.0,21.0,c
c_2669,m,1960.0,62.0,c
c_4423,m,1984.0,38.0,c
c_4917,f,1942.0,80.0,c
c_5521,f,1993.0,29.0,c
c_8105,m,1987.0,35.0,c
c_2105,f,1951.0,71.0,c
c_7986,f,1979.0,43.0,c
c_7772,f,1974.0,48.0,c
c_3146,m,1964.0,58.0,c
c_688,m,1994.0,28.0,c
c_5211,f,1963.0,59.0,c
c_7965,f,2004.0,18.0,c
c_6630,f,2004.0,18.0,c
c_173,f,1958.0,64.0,c
c_166,f,1967.0,55.0,c
c_1680,m,1967.0,55.0,c
c_8246,m,1978.0,44.0,c
c_6608,m,1972.0,50.0,c
c_5243,m,1982.0,40.0,c
c_2386,m,1972.0,50.0,c
c_734,f,1941.0,81.0,c
c_5671,f,1981.0,41.0,c
c_3455,m,1964.0,58.0,c
c_4249,m,1982.0,40.0,c
c_6396,m,2003.0,19.0,c
c_3341,f,1970.0,52.0,c
c_8446,f,1998.0,24.0,c
c_7712,f,2004.0,18.0,c
c_4891,f,1980.0,42.0,c
c_5174,m,1961.0,61.0,c
c_2650,f,1950.0,72.0,c
c_7022,m,1976.0,46.0,c
c_7072,m,1969.0,53.0,c
c_1185,m,2004.0,18.0,c
c_109,f,2004.0,18.0,c
c_8388,m,1990.0,32.0,c
c_3065,f,1977.0,45.0,c
c_6065,m,1960.0,62.0,c
c_3074,m,2000.0,22.0,c
c_3501,f,1992.0,30.0,c
c_7379,m,1962.0,60.0,c
c_1987,f,1972.0,50.0,c
c_588,m,1981.0,41.0,c
c_8127,f,1988.0,34.0,c
c_5925,m,1937.0,85.0,c
c_4665,f,1984.0,38.0,c
c_267,f,1973.0,49.0,c
c_1307,f,1953.0,69.0,c
c_515,m,2000.0,22.0,c
c_5285,f,2004.0,18.0,c
c_2485,m,1943.0,79.0,c
c_3999,f,1979.0,43.0,c
c_7431,m,1969.0,53.0,c
c_4100,f,1995.0,27.0,c
c_4631,f,1939.0,83.0,c
c_3671,f,1960.0,62.0,c
c_1151,f,1956.0,66.0,c
c_1994,m,1990.0,32.0,c
c_6903,f,1987.0,35.0,c
c_3770,m,1956.0,66.0,c
c_8383,f,1971.0,51.0,c
c_2213,m,1982.0,40.0,c
c_5484,f,1981.0,41.0,c
c_7102,m,1983.0,39.0,c
c_1911,f,1969.0,53.0,c
c_833,f,1961.0,61.0,c
c_2624,f,1985.0,37.0,c
c_5955,m,1973.0,49.0,c
c_7253,f,1974.0,48.0,c
c_1536,m,2002.0,20.0,c
c_2139,f,1993.0,29.0,c
c_3105,m,1988.0,34.0,c
c_3155,m,1996.0,26.0,c
c_4944,f,1977.0,45.0,c
c_6509,f,1999.0,23.0,c
c_5978,m,1986.0,36.0,c
c_4832,f,1997.0,25.0,c
c_6373,f,1991.0,31.0,c
c_5063,m,1968.0,54.0,c
c_2506,f,1992.0,30.0,c
c_1370,f,1980.0,42.0,c
c_2121,m,1983.0,39.0,c
c_3665,f,1989.0,33.0,c
c_7818,f,1978.0,44.0,c
c_258,m,1959.0,63.0,c
c_1547,m,2004.0,18.0,c
c_2903,f,1967.0,55.0,c
c_394,f,1999.0,23.0,c
c_4583,f,1998.0,24.0,c
c_7879,f,1948.0,74.0,c
c_7268,f,1985.0,37.0,c
c_3950,m,2004.0,18.0,c
c_2362,m,1974.0,48.0,c
c_4982,f,1958.0,64.0,c
c_8141,f,1983.0,39.0,c
c_3685,m,1965.0,57.0,c
c_2755,f,1961.0,61.0,c
c_4366,m,1953.0,69.0,c
c_113,m,1974.0,48.0,c
c_1905,m,1967.0,55.0,c
c_5379,m,1944.0,78.0,c
c_1425,m,1998.0,24.0,c
c_6200,m,1957.0,65.0,c
c_5405,f,1974.0,48.0,c
c_2088,f,1958.0,64.0,c
c_7832,m,1980.0,42.0,c
c_4759,m,1962.0,60.0,c
c_6216,f,1997.0,25.0,c
c_4756,m,1962.0,60.0,c
c_5866,f,1960.0,62.0,c
c_3984,m,1992.0,30.0,c
c_742,m,1978.0,44.0,c
c_1782,f,1988.0,34.0,c
c_899,f,1958.0,64.0,c
c_3555,f,1980.0,42.0,c
c_5043,f,1971.0,51.0,c
c_5616,f,2000.0,22.0,c
c_1933,f,1985.0,37.0,c
c_2343,f,1990.0,32.0,c
c_2273,f,1987.0,35.0,c
c_1093,f,1993.0,29.0,c
c_2531,m,2001.0,21.0,c
c_3887,f,1969.0,53.0,c
c_7024,m,1949.0,73.0,c
c_5519,f,1994.0,28.0,c
c_2646,f,1971.0,51.0,c
c_5167,f,1997.0,25.0,c
c_2017,f,1966.0,56.0,c
c_3975,m,1993.0,29.0,c
c_7910,m,1992.0,30.0,c
c_6368,m,2002.0,20.0,c
c_3050,f,1987.0,35.0,c
c_4376,f,1963.0,59.0,c
c_3944,f,1975.0,47.0,c
c_1830,f,1970.0,52.0,c
c_6257,f,1988.0,34.0,c
c_8265,f,1997.0,25.0,c
c_7958,f,1962.0,60.0,c
c_310,f,1981.0,41.0,c
c_5322,m,1982.0,40.0,c
c_3888,m,1972.0,50.0,c
c_2890,f,1982.0,40.0,c
c_5548,f,1996.0,26.0,c
c_4560,f,1968.0,54.0,c
c_931,m,1965.0,57.0,c
c_320,m,1953.0,69.0,c
c_4535,m,1965.0,57.0,c
c_4983,m,1998.0,24.0,c
c_7959,f,1974.0,48.0,c
c_4858,f,1997.0,25.0,c
c_1652,f,1989.0,33.0,c
c_5790,f,1984.0,38.0,c
c_1026,m,1998.0,24.0,c
c_4991,f,1957.0,65.0,c
c_3784,f,2004.0,18.0,c
c_680,f,1954.0,68.0,c
c_1447,f,1969.0,53.0,c
c_2360,m,1993.0,29.0,c
c_6544,f,1971.0,51.0,c
c_5977,f,1982.0,40.0,c
c_5840,f,1968.0,54.0,c
c_5737,m,1981.0,41.0,c
c_4596,m,1986.0,36.0,c
c_3360,f,1983.0,39.0,c
c_2488,m,1950.0,72.0,c
c_6237,f,2004.0,18.0,c
c_613,m,1969.0,53.0,c
c_510,m,1966.0,56.0,c
c_6340,m,1985.0,37.0,c
c_1706,m,1954.0,68.0,c
c_6150,m,1967.0,55.0,c
c_58,f,2003.0,19.0,c
c_8255,f,2002.0,20.0,c
c_3935,f,1975.0,47.0,c
c_389,m,1976.0,46.0,c
c_6907,m,1977.0,45.0,c
c_5355,m,1963.0,59.0,c
c_4760,f,1973.0,49.0,c
c_6718,f,1979.0,43.0,c
c_5490,f,1989.0,33.0,c
c_164,f,1961.0,61.0,c
c_3462,f,1956.0,66.0,c
c_1513,m,2002.0,20.0,c
c_5974,m,1958.0,64.0,c
c_6812,f,2000.0,22.0,c
c_6349,f,1991.0,31.0,c
c_6314,f,1983.0,39.0,c
c_1316,f,1960.0,62.0,c
c_8037,m,2000.0,22.0,c
c_6376,m,1995.0,27.0,c
c_7991,m,1968.0,54.0,c
c_212,f,1988.0,34.0,c
c_6852,m,1999.0,23.0,c
c_3316,m,1966.0,56.0,c
c_5037,f,1974.0,48.0,c
c_4416,m,1962.0,60.0,c
c_7635,m,1982.0,40.0,c
c_8450,m,2004.0,18.0,c
c_5302,m,1929.0,93.0,c
c_2014,m,1988.0,34.0,c
c_7344,m,1964.0,58.0,c
c_4381,m,2004.0,18.0,c
c_6554,m,1972.0,50.0,c
c_1022,m,1996.0,26.0,c
c_605,m,1991.0,31.0,c
c_1908,m,1971.0,51.0,c
c_4308,m,1997.0,25.0,c
c_1901,m,2004.0,18.0,c
c_891,f,2002.0,20.0,c
c_6146,m,1981.0,41.0,c
c_6939,f,2003.0,19.0,c
c_1314,m,1973.0,49.0,c
c_4921,f,1971.0,51.0,c
c_1686,m,1971.0,51.0,c
c_3115,f,1997.0,25.0,c
c_5620,m,1997.0,25.0,c
c_2461,m,1994.0,28.0,c
c_5007,f,2001.0,21.0,c
c_8221,m,2003.0,19.0,c
c_4184,f,1949.0,73.0,c
c_2508,m,1993.0,29.0,c
c_5852,m,1980.0,42.0,c
c_3587,m,1980.0,42.0,c
c_3137,m,1989.0,33.0,c
c_5287,m,1961.0,61.0,c
c_2627,m,2004.0,18.0,c
c_8124,f,1981.0,41.0,c
c_5008,f,1987.0,35.0,c
c_6913,m,2003.0,19.0,c
c_4081,f,1957.0,65.0,c
c_8549,f,1967.0,55.0,c
c_4702,f,1974.0,48.0,c
c_7342,m,1981.0,41.0,c
c_746,m,1984.0,38.0,c
c_1188,f,1947.0,75.0,c
c_7153,f,1964.0,58.0,c
c_333,f,1955.0,67.0,c
c_6651,f,2002.0,20.0,c
c_7829,f,1994.0,28.0,c
c_5659,f,2001.0,21.0,c
c_8421,m,2000.0,22.0,c
c_604,f,1979.0,43.0,c
c_7261,m,2004.0,18.0,c
c_4856,f,1961.0,61.0,c
c_7887,m,1980.0,42.0,c
c_2103,f,1973.0,49.0,c
c_8065,f,2004.0,18.0,c
c_3318,m,1996.0,26.0,c
c_3853,f,1964.0,58.0,c
c_1912,f,2003.0,19.0,c
c_1351,m,1946.0,76.0,c
c_1663,f,1971.0,51.0,c
c_3284,m,1952.0,70.0,c
c_2913,m,1983.0,39.0,c
c_5823,m,1954.0,68.0,c
c_6324,m,1956.0,66.0,c
c_3947,f,1988.0,34.0,c
c_3546,m,2002.0,20.0,c
c_881,f,1988.0,34.0,c
c_345,f,1974.0,48.0,c
c_1725,m,1984.0,38.0,c
c_4545,f,1986.0,36.0,c
c_1449,m,1980.0,42.0,c
c_8565,m,1948.0,74.0,c
c_4817,f,1984.0,38.0,c
c_1113,m,1972.0,50.0,c
c_4309,m,1977.0,45.0,c
c_5116,f,1962.0,60.0,c
c_4440,m,1998.0,24.0,c
c_4586,f,1960.0,62.0,c
c_1851,f,1968.0,54.0,c
c_3902,f,1971.0,51.0,c
c_7992,f,1982.0,40.0,c
c_5642,f,1991.0,31.0,c
c_6133,m,2004.0,18.0,c
c_5766,m,1960.0,62.0,c
c_3973,m,1968.0,54.0,c
c_6683,m,2002.0,20.0,c
c_2733,m,1992.0,30.0,c
c_2826,m,1986.0,36.0,c
c_7028,f,1939.0,83.0,c
c_4508,f,1960.0,62.0,c
c_6979,f,1988.0,34.0,c
c_7388,m,1977.0,45.0,c
c_2416,f,1948.0,74.0,c
c_5999,m,2004.0,18.0,c
c_6360,f,1972.0,50.0,c
c_3276,m,1982.0,40.0,c
c_5289,f,1976.0,46.0,c
c_5078,f,1976.0,46.0,c
c_6995,f,1960.0,62.0,c
c_3714,m,1981.0,41.0,c
c_1472,f,1973.0,49.0,c
c_4391,f,2001.0,21.0,c
c_7923,m,2004.0,18.0,c
c_4793,f,1988.0,34.0,c
c_6685,f,2004.0,18.0,c
c_531,m,1996.0,26.0,c
c_2130,m,1986.0,36.0,c
c_4097,m,2000.0,22.0,c
c_6595,f,1976.0,46.0,c
c_8178,m,2002.0,20.0,c
c_7360,f,2003.0,19.0,c
c_850,f,1957.0,65.0,c
c_7314,m,2001.0,21.0,c
c_3906,f,1971.0,51.0,c
c_4425,m,1970.0,52.0,c
c_2987,m,1970.0,52.0,c
c_2305,f,1979.0,43.0,c
c_4633,f,1956.0,66.0,c
c_2118,m,1990.0,32.0,c
c_5878,f,2000.0,22.0,c
c_2217,f,1965.0,57.0,c
c_930,f,1994.0,28.0,c
c_1016,m,1980.0,42.0,c
c_1077,f,1985.0,37.0,c
c_1030,m,1948.0,74.0,c
c_7886,f,1942.0,80.0,c
c_8493,f,1960.0,62.0,c
c_3030,m,1989.0,33.0,c
c_4844,m,1978.0,44.0,c
c_4161,m,1979.0,43.0,c
c_3179,f,1994.0,28.0,c
c_1595,f,1973.0,49.0,c
c_8498,f,1999.0,23.0,c
c_3898,m,1997.0,25.0,c
c_307,f,1951.0,71.0,c
c_903,f,1963.0,59.0,c
c_2020,f,1973.0,49.0,c
c_1467,m,1958.0,64.0,c
c_7525,f,1967.0,55.0,c
c_1977,m,1977.0,45.0,c
c_2278,f,1980.0,42.0,c
c_6582,m,1990.0,32.0,c
c_5740,f,2004.0,18.0,c
c_603,f,1942.0,80.0,c
c_8424,m,1983.0,39.0,c
c_5715,m,1996.0,26.0,c
c_7881,m,1996.0,26.0,c
c_3914,f,1957.0,65.0,c
c_2178,m,1968.0,54.0,c
c_4582,f,1949.0,73.0,c
c_4589,f,1971.0,51.0,c
c_4663,m,1970.0,52.0,c
c_6842,f,1960.0,62.0,c
c_8486,f,1978.0,44.0,c
c_6535,f,1979.0,43.0,c
c_675,f,2000.0,22.0,c
c_1835,f,2000.0,22.0,c
c_3071,f,1979.0,43.0,c
c_1511,f,1968.0,54.0,c
c_4259,m,1994.0,28.0,c
c_5231,f,1972.0,50.0,c
c_4282,f,1971.0,51.0,c
c_6142,m,1978.0,44.0,c
c_2957,f,2001.0,21.0,c
c_5143,m,1988.0,34.0,c
c_706,m,1976.0,46.0,c
c_6601,m,1988.0,34.0,c
c_4876,m,1973.0,49.0,c
c_4651,m,1963.0,59.0,c
c_1886,m,1946.0,76.0,c
c_7812,m,1985.0,37.0,c
c_691,f,1948.0,74.0,c
c_8371,m,1971.0,51.0,c
c_268,f,1986.0,36.0,c
c_825,f,1977.0,45.0,c
c_185,m,2004.0,18.0,c
c_3548,f,1971.0,51.0,c
c_5337,f,1970.0,52.0,c
c_1581,f,1968.0,54.0,c
c_6619,f,1994.0,28.0,c
c_4306,m,1964.0,58.0,c
c_89,m,1971.0,51.0,c
c_7201,m,1983.0,39.0,c
c_4850,m,1949.0,73.0,c
c_8289,f,1973.0,49.0,c
c_2523,m,1994.0,28.0,c
c_2184,m,1971.0,51.0,c
c_5930,m,1996.0,26.0,c
c_2796,m,1970.0,52.0,c
c_4262,m,1984.0,38.0,c
c_5833,f,1987.0,35.0,c
c_4927,m,1998.0,24.0,c
c_7783,m,1996.0,26.0,c
c_8372,f,1978.0,44.0,c
c_2559,f,2002.0,20.0,c
c_3158,f,1998.0,24.0,c
c_3250,f,1980.0,42.0,c
c_1036,f,1976.0,46.0,c
c_1926,f,2003.0,19.0,c
c_3504,m,2003.0,19.0,c
c_2140,f,1977.0,45.0,c
c_2812,f,1980.0,42.0,c
c_5390,f,1967.0,55.0,c
c_4875,f,1954.0,68.0,c
c_660,m,1978.0,44.0,c
c_2214,f,1993.0,29.0,c
c_4341,m,2004.0,18.0,c
c_4870,f,1981.0,41.0,c
c_700,f,1956.0,66.0,c
c_3760,m,1970.0,52.0,c
c_1723,f,1950.0,72.0,c
c_2548,m,1994.0,28.0,c
c_1671,f,1980.0,42.0,c
c_4600,m,1987.0,35.0,c
c_536,m,1987.0,35.0,c
c_3700,f,1958.0,64.0,c
c_4468,f,1983.0,39.0,c
c_1124,f,1950.0,72.0,c
c_8280,f,1967.0,55.0,c
c_2839,m,1967.0,55.0,c
c_7168,m,1956.0,66.0,c
c_2904,f,1980.0,42.0,c
c_2900,m,1979.0,43.0,c
c_7004,m,1984.0,38.0,c
c_2413,m,1999.0,23.0,c
c_1503,m,1986.0,36.0,c
c_7172,f,1987.0,35.0,c
c_4918,f,1976.0,46.0,c
c_3661,f,1987.0,35.0,c
c_8377,f,1960.0,62.0,c
c_1801,m,1961.0,61.0,c
c_4352,f,2002.0,20.0,c
c_671,f,1971.0,51.0,c
c_8602,m,1952.0,70.0,c
c_5028,m,1965.0,57.0,c
c_5794,f,1958.0,64.0,c
c_2634,m,1992.0,30.0,c
c_7468,m,1997.0,25.0,c
c_583,f,2004.0,18.0,c
c_3493,f,1957.0,65.0,c
c_3132,f,1998.0,24.0,c
c_3597,f,1999.0,23.0,c
c_7354,f,1981.0,41.0,c
c_7343,f,1950.0,72.0,c
c_3011,m,1996.0,26.0,c
c_6090,m,1963.0,59.0,c
c_2003,m,1973.0,49.0,c
c_2433,f,1997.0,25.0,c
c_6151,m,1983.0,39.0,c
c_6390,f,1968.0,54.0,c
c_3072,f,1990.0,32.0,c
c_1379,m,1964.0,58.0,c
c_4069,m,1978.0,44.0,c
c_7650,m,1992.0,30.0,c
c_992,f,1977.0,45.0,c
c_2166,f,1964.0,58.0,c
c_5538,m,1996.0,26.0,c
c_1973,m,1997.0,25.0,c
c_4905,m,2002.0,20.0,c
c_5983,f,1960.0,62.0,c
c_8100,f,1958.0,64.0,c
c_7788,f,1960.0,62.0,c
c_8106,m,2001.0,21.0,c
c_3277,f,1962.0,60.0,c
c_3401,m,1973.0,49.0,c
c_5284,m,1956.0,66.0,c
c_7792,f,1986.0,36.0,c
c_1817,f,1957.0,65.0,c
c_6332,f,1978.0,44.0,c
c_2297,f,1982.0,40.0,c
c_754,m,1990.0,32.0,c
c_3034,f,1981.0,41.0,c
c_5027,m,1965.0,57.0,c
c_1952,f,1982.0,40.0,c
c_7132,f,1981.0,41.0,c
c_6880,m,1991.0,31.0,c
c_743,f,1968.0,54.0,c
c_55,f,1993.0,29.0,c
c_8082,m,1978.0,44.0,c
c_4824,m,1974.0,48.0,c
c_1014,m,1989.0,33.0,c
c_6632,m,1998.0,24.0,c
c_5204,f,1981.0,41.0,c
c_6118,f,1947.0,75.0,c
c_4613,f,1963.0,59.0,c
c_6542,m,1987.0,35.0,c
c_444,f,1979.0,43.0,c
c_1400,m,2001.0,21.0,c
c_4802,f,1946.0,76.0,c
c_2144,f,1932.0,90.0,c
c_7178,m,1959.0,63.0,c
c_242,f,1980.0,42.0,c
c_7526,f,1974.0,48.0,c
c_6199,f,1970.0,52.0,c
c_4461,f,1965.0,57.0,c
c_4091,f,2004.0,18.0,c
c_1005,f,1941.0,81.0,c
c_2183,m,1964.0,58.0,c
c_6791,f,2000.0,22.0,c
c_1880,m,1966.0,56.0,c
c_408,f,1999.0,23.0,c
c_1975,f,1951.0,71.0,c
c_6261,m,1966.0,56.0,c
c_707,m,1986.0,36.0,c
c_5385,m,1970.0,52.0,c
c_1213,f,1939.0,83.0,c
c_8603,f,1979.0,43.0,c
c_7120,m,1973.0,49.0,c
c_5234,m,1966.0,56.0,c
c_1838,f,1977.0,45.0,c
c_1205,f,1992.0,30.0,c
c_3621,f,1968.0,54.0,c
c_2642,f,1990.0,32.0,c
c_4194,m,1938.0,84.0,c
c_3579,m,1952.0,70.0,c
c_640,f,1989.0,33.0,c
c_6134,m,1968.0,54.0,c
c_8086,f,1995.0,27.0,c
c_6248,f,1988.0,34.0,c
c_2317,f,1972.0,50.0,c
c_5085,f,2000.0,22.0,c
c_8282,f,1976.0,46.0,c
c_4288,f,1977.0,45.0,c
c_8608,m,1996.0,26.0,c
c_8396,m,1986.0,36.0,c
c_8423,f,1949.0,73.0,c
c_6217,m,2000.0,22.0,c
c_2522,f,1966.0,56.0,c
c_7509,f,1969.0,53.0,c
c_423,m,1964.0,58.0,c
c_1628,m,1984.0,38.0,c
c_3297,f,1975.0,47.0,c
c_1198,f,1993.0,29.0,c
c_5151,f,1970.0,52.0,c
c_2645,f,1989.0,33.0,c
c_6971,m,1992.0,30.0,c
c_8146,f,1970.0,52.0,c
c_8183,f,1954.0,68.0,c
c_7711,m,1982.0,40.0,c
c_4812,m,1931.0,91.0,c
c_5945,f,1977.0,45.0,c
c_4400,m,1977.0,45.0,c
c_7144,f,1984.0,38.0,c
c_4244,f,1966.0,56.0,c
c_141,f,1980.0,42.0,c
c_4568,m,1991.0,31.0,c
c_518,m,1974.0,48.0,c
c_5315,m,2003.0,19.0,c
c_7817,m,1972.0,50.0,c
c_8191,m,1978.0,44.0,c
c_8045,f,1945.0,77.0,c
c_6077,f,1992.0,30.0,c
c_417,m,1964.0,58.0,c
c_1747,f,1988.0,34.0,c
c_1068,m,1982.0,40.0,c
c_2574,m,1977.0,45.0,c
c_2350,m,1995.0,27.0,c
c_5660,f,1977.0,45.0,c
c_2803,m,1972.0,50.0,c
c_3618,m,1973.0,49.0,c
c_8201,f,1959.0,63.0,c
c_5275,m,1964.0,58.0,c
c_5921,m,1978.0,44.0,c
c_3271,f,1950.0,72.0,c
c_7790,f,1983.0,39.0,c
c_4929,m,1966.0,56.0,c
c_639,m,1981.0,41.0,c
c_5207,m,1997.0,25.0,c
